,日付,タイトル,本文
780,2020年4月13日,さっぱりドレッシング,こんばんは、こうすけです。 今日はまたびっくりするような雨風、そして寒さでしたね。さて今日はお手軽さっぱり甘酸っぱいドレッシングをご紹介です。 爽やかな柑橘の香りで、リラックスも。 ピンクグレープフルーツのコンフィチュールをベースにビネガーと海の果実を加えて、よく混ぜます。そこにオリーブオイルを少しずつ加えては混ぜ、加えては混ぜを繰り返します。こうしていくと、しっかりととろみのついたドレッシングの完成です。 ピンクグレープフルーツの甘酸っぱさをしっかり楽しめるドレッシング、サラダにかけたり、ヨーグルトにかけても美味しいです。 
783,2020年4月14日,ご紹介いただきました！,こんにちは、こうすけです。 今日は何とも気持ちの良い天気になりましたね。ちょっと気持ちの切り替えに、散歩に出かけたくもなります。 さて嬉しいことに、Webマガジンサイトの「UPDAYS」様に、ゲランドの塩をご紹介いただきました。【全51商品徹底調査】おすすめの塩10選！市販やスーパーで買えるものも！こうやって「おすすめの塩」としてご紹介いただくと、改めてこの塩を扱うことが出来る嬉しさ、そしてご愛顧いただけることへの感謝を感じます。本当にありがとうございます。 UPDAYS様の記事には、他にもたくさん魅力的な商品などがご紹介されています。僕もついつい時間を忘れて、色々読み耽ってしまいました。
787,2020年4月15日,春の息吹,こんばんは、こうすけです。 ４月も半ばすぎですが、やっと春の陽気の訪れを日々感じられるようになってきた気がします。お店の庭でも春の息吹を感じられるようになってきました。 昨年から新たに加わったブドウが芽吹き初め、緑の葉をつけるようになってきています。ついこの間まで冬枯れをしていたので、この変化は嬉しいもの。こうして一歩ずつまた育っていく様子を見ていると、植物の生き方にも学ぶものが多いなと思う今日この頃です。
794,2020年4月16日,店長、作業をする…?,こんばんは、こうすけです。 やっぱり夜はぐっと冷えましたね。去年の４月はこんなに夜冷えてたんでしょうか。 今日の店長は、珍しく一緒にパソコン作業でした。果たして店長は何を見ているのでしょうか？ とても真剣に眺めているように見えますが、まあ、しっかりとパソコンに顎を載せていらっしゃること。これでは仕事になりません笑。顎を色んなところに載せる癖のある店長でした。    
802,2020年4月17日,具沢山シフォンケーキ,こんばんは、こうすけです。 今日は久々にケーキの試作をしてみました。久しぶりということもあり、シンプルにシフォンケーキにトライ。 シンプルにとは言ったものの、せっかく色々なコンフィチュールを扱っているので、生地にコンフィチュールを加えていきます。今回は、洋梨とジャスミンティーのコンフィチュール入りのシフォンケーキです。 シフォンケーキ作りでは、ふかふかなメレンゲを作り出すのが楽しい作業の一つ。このふかふかメレンゲが立ち上がると、気持ちもふかふかしてきます。 まずは卵黄と砂糖をしっかり混ぜます。そこにオリーブオイルを加えます。焼き上がりにほんのりオイルの香りがしてくるので、おすすめです。 シロップと小麦粉を加えて、しっかり混ぜ合わせます。 そしたらいよいよメレンゲ作り。角がふわんと立つまでしっかり立てます。このふわんとしたメレンゲが出来上がるのが良い心持ちです。ここに先ほどの卵黄を加えてしっかりと混ぜ合わせます。この工程もとても大事。そしてとても難しい生地を混ぜ終えたら、オーブンへ。生地が徐々に膨らんでいく様子を眺めるのも堪らない時間です。キッチンにはどんどんいい香りが広がっていきます。焼き上がったら、粗熱をとって完成です。取り出すのにちょっと失敗してしまいました笑。 洋梨の優しい甘みと、上品なジャスミンティーの香りが口に入れるとふわっと広がるシフォンケーキの完成です。ふっかふかで、気づくと一瞬で食べ切ってしまいそうな軽い口当たり。もっとブラッシュアップして、お店で出せるようにしたいと思います。  
805,2020年4月18日,春の味わい,こんばんは、こうすけです。 今日はすごい雨と風でしたね。春の嵐というのでしょうか、物凄い風の音が気持ちをゾワゾワさせてきました。  今日はようやく春の味を楽しむことができました。筍ご飯。この筍ご飯に、NYONSオリーブオイルと、ひとつまみ海の果実を振りかけると、ぐっと筍の旨味が増します。香りがめちゃくちゃ良くなります。春ならではの味わいに、ちょっとしたアクセントを。
808,2020年4月19日,フランス風ラーメン,こんばんは、こうすけです。 今日もじっくりとレシピ作りの時間を過ごすことができました。今回はラ・ベル・イロワーズのスープドポワソン（魚のスープ）を使って、ラーメンを作ってみました。フランスのスープでラーメン、中々面白いトライ。 こちらのスープドポワソンは濃縮タイプなので、水などを足して濃さを調整して楽しんでいただくタイプ。今回は水の代わりに鶏がらスープを加えます。このスープ缶と鶏がらスープをミックスすると、簡単に魚介鶏がらスープを作ることができます。鶏がらスープを大量に作って冷凍しておけば、いつでも作ることが出来ちゃいますね笑 さてこの魚介鶏がらスープを温めたら、茹でた麺を加えて更に好きな具材を載せます。これでフランスの漁港風ラーメンの完成です。魚介ベースですが、かなりガツンとした旨味のラーメン、食べ応えがあります。 しっかりした魚介の旨味に、こくのある鶏スープが加わることで力強いスープなので、ラーメン以外にもリゾットのベースにしたり、少量を煮詰めてソースにしたり、色んな使い方を楽しむことが出来ます。  
822,2020年4月20日,オマール海老でカレー,こんにちは、こうすけです。 昨日はラーメンアレンジにトライしたので、今日はもう一つの国民食、カレーのアレンジにトライ。自宅にいる時間をしっかり取れるようになったので、時間をかけて調理が出来ました。今回は、ビスクドオマールを使って濃厚なエビカレーを作っていきます。 まずは鶏肉を皮に焦げ目がつくまで、しっかりソテーします。ソテーしたら、鶏肉を取り出します。 次に残った油で、玉ねぎのみじん切りをじっくり炒めていきます。最初はこんなにシャキシャキの玉ねぎ。 これを弱火でひたすら丁寧に炒めていきます。するとこんな具合にトロトロに。 ここにみじん切りしたニンジンを入れて、更にじっくり炒めます。 にんじんが柔らかくなって甘味が出てきたら、トマトを加えて酸味が飛ぶまで弱火で熱します。トマトの酸味が飛んだら、鶏肉を戻し、そこにいよいよビスクドオマールを加えます。全体にしっかり火が通ってきたら、カレールーを加えて仕上げます。因みに今回は、カレールーも作ってみました。カレールーの作り方は、またいずれ！ 好みの辛さに仕上がったら完成です。濃厚なオマール海老の旨味をしっかり楽しめるオマール海老カレー。これはかなり旨いです。じっくり時間をかけた甲斐がありました。
824,2020年4月21日,美味しいものを掛け合わせる,こんばんは、こうすけです。 カレーを作るとしばらくカレーって続きますよね。そして時間を追うごとに美味しくなるあのマジック。カレーを作るとなると、しっかり保存して数日かけて食べたくなります。色んなアレンジも効くので、楽しい。 今日はオマール海老カレーと麺を合わせて混ぜそばにしてみました。混ぜそばを生み出した人は、本当に偉大ですね……。カレーが絡んだ麺を啜ると、お米で食べる時とはまた違った感覚で、風味を味わえるのが心地いいですね。合わせるものを変えるだけで、変化を楽しめるカレー、やはり奥が深い。 
827,2020年4月22日,トマトとリンゴのチーズ焼き,こんばんは、こうすけです。 寒い、寒いです。というか、本来この時期はこのくらいの温度だったんでしょうか。 まだまだしっかり夜は肌寒いので、今日は簡単で、しっかり温まれる料理を。トマトとリンゴのチーズ焼きです。リンゴを加熱することで、ほんのりとした甘味がアクセント。とろっとしたチーズのコクがたまりません。 スライスしたリンゴとトマトを重ねて、生クリームとオリーブオイルを加えます。お好みのチーズをかけて、オーブンで焦げ目げつくまで焼いたら完成です。仕上げに海の果実と胡椒で味を調えます。 そのままでも、バゲットと合わせても美味しい、簡単おつまみ。いくらでも食べられちゃいます。
830,2020年4月23日,遊び心,こんにちは、こうすけです。 時間の余裕が出来ているのに、気持ちの余裕がない気がする今日この頃。こう言う時こそ、遊び心を忘れないでおきたいです。 遊び心と言って今思いついたのが、フライドポテト。僕はフライドポテトが大好きでして。せっかく時間もある事なので、理想のフライドポテトのレシピ作りをしようというのは、なかなか良いアイディアな気がします。とても楽しそうです。遊び心満載ですね。遊ぶ気持ちを大事にしたいと思います。
833,2020年4月24日,フレンチフライトライアル-その１-,こんにちは、こうすけです。 昨日の宣言通り、フレンチフライの試作を始めました。 楽しいですね、下準備を変えて色んなフレンチフライに挑戦出来ます。 今回はじゃがいもを細切りにしてから、しっかり水洗いしてでんぷん質を落としてみました。その後、まずは油を１６０〜１７０度前後まで温めてから、じゃがいもを投入。全体に色味がつくまでしっかり揚げたら、最後に２００度近い高温で狐色になるまで揚げます。 外側サックリ、中ほっくりのフレンチフライに仕上がりました。欲を言えばもう少し外をカリカリにしたいところ。 挑戦は続く！
836,2020年4月25日,フレンチフライトライアル-その２-,こんばんは、こうすけです。 今日も今日とてフレンチフライトライアル。今回は水でさらした後、オーブンでしばらく炙ってから揚げてみました。今回もじっくり低温で揚げていきます。炙ってから焼いた効果でしょうか、かなりいい感じに外はカリカリ、中はホクホクに仕上がってきました。もちろん味付けはシンプルに、ゲランドの塩と胡椒でいただきます。
843,2020年4月26日,フレンチフライ-その３-,こんばんは、こうすけです。 今日もせっせとフレンチフライ。今回は太めのフレンチフライ。下準備は「オーブンで焼く」、「揚げる前に冷凍しておく」の２パターン。そして今回もじっくりじっくり丁寧に揚げていきます。 全体がしっかりと狐色になるまで揚げ切ります。 今回はホクホクメインの仕上がりになりました。もうちょっと表面はカリカリにしたいところ。まだまだ遊んでいけそうです。
848,2020年4月27日,天ぷら祭り,こんばんは、こうすけです。 最近フレンチフライに揚げくれていたのですが、揚げ物つながりということで、天ぷら作りも楽しんでいます。先日立派な筍を頂いたので、そちらを天ぷらに。一緒に鶏肉も天ぷらにして、とり天としていただきました。天ぷら、生地を作ったり、揚げ物の後始末のことを考えるとついつい敬遠しがちだったのですが、慣れてくると楽しいですね。筍はさすが春の味覚、食感も合わせて楽しむことが出来ました。鶏肉も、唐揚げとはまた違ったぷりぷりの食感。こうした違いを楽しめるのは、有難いです。つけ塩は、ぜひゲランドの塩で。 
850,2020年4月28日,休みに休む,こんばんは、こうすけです。 そろそろゴールデンウィークですね。早いところでは明日からゴールデンウィークに突入というところもあるのではないでしょうか。 お店は金曜まで営業し、土曜日からゴールデンウィークに入る予定です。ゴールデンウィーク中はお休みの予定でおります。休みに入るとつい、普段できないことをしようとして、普段より動いてしまいがちなので、今回はじっくり休んでみようかと思っています。こういう時ほど、店長を見習っていきたいです笑
857,2020年4月29日,フレンチフライトライアル-その４-,こんばんは、こうすけです。 今日も今日とて、飽きずにフレンチフライを揚げておりました。中々大分いい塩梅に、細めにじゃが芋をカット出来るようになってきました。これもトライアルの賜物ですね笑。 今日はいつもより長めに水にさらして、油を常温から揚げ始めてみました。かなりカリカリ、ホクホクしています。今まで色々と試していますが、やはり水にさらすのは必須という感じがします。あとはその他のアレンジをどうするか、ここの取捨選択が大事になりそうです。GWにはレシピ完成したい！
860,2020年4月30日,普段と違うこと,こんばんは、こうすけです。 今日は普段と少し違うことをしてみました。いつもと違うことをすると、感覚が変わって面白いです。動きも変わるし、考え方も変わる。 普段あまり作らない、アイスクリームを試作しました。実践してみないと、勝手に「何か難しいだろうな」とか頭の中で完結してしまう気がします。だから作ってみました。アイスクリーム種なるものを量産して、それをベースにフレーバーを加えていきます。アイスクリーム種を作るのが結構楽しかったです。混ぜ合わせた材料をつまみ食いしても美味しいし笑 今回はピスタチオとチョコレート、２つのフレーバーを作ってみました。ピスタチオ、初めて扱ったんですが、生のピスタチオをさっと湯がくと、それはそれは綺麗な翡翠色になるんですね。あと、香りがとても良い。甘い。ペースト状にすると、程よくオイリーなのもいいです、触感が良い。このピスタチオをふんだんにアイス種に入れて、ピスタチオアイスを作るとそれはそれは美味しいピスタチオアイスが出来上がります。そしてアイス種に溶かしたチョコレートを加えれば、あっという間にチョコレートアイスの完成です。この２つを重ねて冷やせば、綺麗な２層のアイスが完成です。これは楽しい！そして何より美味しい！
863,2020年5月1日,ヒラメのカルパッチョ,こんにちは、こうすけです。 早いもので、今日から５月ですね。何となく日中も暖かくなってきて、初夏の気配がしてきました。 こうやって暖かくなってくると食べたくなるのがお刺身。さっぱりと白身なんか、良いですね。 新鮮なお刺身はそのままいただいても美味しいですが、ひと手間加えるのも、また楽しい。 今日は簡単にさっと作れる、カルパッチョのソースのご紹介です。 【お手軽カルパッチョソース】・NYONSオリーブオイル・ゲランド塩/海の果実・柚子胡椒 上の材料を、１０：１：１で混ぜるだけ！ カルパッチョの具材はお好みで。気持ちをスッキリさせたいので、今回は柑橘類をふんだんに載せてみました。さっぱり、スッキリ美味しいカルパッチョ、いかがでしょうか？
866,2020年5月2日,鶏皮煎餅,こんばんは、こうすけです。 G.W.が始まりましたね。初日から変わらず、ゆっくり料理をしておりました。 今回は鶏もも肉を余すところなく使いました。とは言ったものの、肉の部位だけを使いたかったので皮が余ってしまいまして。そこで前からトライしたかった、鶏皮煎餅を作ってみました。 まず皮を軽く塩で揉みます。そしてフライパンの上に皮をしっかり広げて、とにかく弱火で焼きます。皮の上にアルミを敷いて、その上から蓋を置いて重石がわりにすると皮が薄いまま綺麗に焼けます。焼いていると鶏の脂がどんどん出てくるので、フライパンに油は不要です。 両面がしっかり狐色になって、パリパリになったら仕上げに胡椒をふって完成です。このまま食べても、何かをディップしても美味しいです。もう無限に食べれちゃいます。お酒がすすむすすむ。
869,2020年5月3日,鶏もも肉のさっぱり煮,こんばんは、こうすけです。 昨日は鶏皮煎餅をご紹介しましたが、飽くまで副産物。メインは鶏もも肉のさっぱり煮。久々に和食寄りのメニューを作ってみました。 たっぷりの鶏肉だったので、今回は２パターンにトライ。片方の鶏肉は軽く塩をまぶして、１５分ほど放置。その間に水に日本酒を加えてから沸騰させておきます沸騰したら、鶏肉を２０分ほどつけておきます。 この間に煮汁のベースを作っておきます。今回はさっぱり煮ということなので、ポン酢をベースに、醤油、みりん、そして更に甘味と爽やかさを加えるため、マーマレードを加えます。そして、しばらくお肉を漬けておきます。 最初の鶏肉の漬けおきが終わったら、煮汁のベースに移します。この漬け置きに使ったお湯は、鶏肉の旨味がしっかり出ているので、煮汁のベースに加えます。あとは、沸騰しないように中弱火でじっくり煮込んで、鶏肉にしっかり入ったら完成です。マーマレードの甘酸っぱさと、爽やかな香りがしっかり効いていて、食欲が刺激されます。鶏肉以外に、じゃが芋や大根、卵を一緒に入れて煮込んでも美味しいですよ。 
873,2020年5月4日,しっかり休んで。,こんにちは、こうすけです。 G.W.も早いもので折り返しですね。今回は状況が状況なので、お店をおやすみにしております。店長もひたすら家でゴロゴロしております。外にも中々いけないので、自宅で同居人のコクトー（黒猫）や静（スタッフィー）と一緒に寝たり、駆けずり回ったりしています。また皆様にお会いできる日を楽しみに、たっぷり充電しています。 
876,2020年5月5日,サバフィレ・マスタードソースの具沢山サラダ,こんばんは、こうすけです。 日中は初夏の雰囲気が漂って来ましたね。そろそろ少しさっぱりしたものも食べたくなって来ました。こういう時にサッと使えて便利なのが、ラ・ベルイロワーズの魚介缶シリーズ。今回はサバフィレ・マスタードソースを使ったサラダのご紹介です。このサバフィレ・マスタードソースは、ビネガーの酸味が効いたさっぱりソース仕立てです。マスタードを使っていますが、辛さは非常にマイルド。しかも風味づけに３種類の海藻が入っていて、余韻にそれを感じさせます。じゃがいもと相性が良いので、蒸してほぐしたじゃがいもの上にたっぷりかけると最高です。今回は付け合わせにお好みの葉野菜やトマト、りんごを加えました。これだけ野菜も取れるので、かなりヘルシーですが、具沢山なので満足感も充分です！ 
882,2020年5月6日,赤桃のドレッシング,こんばんは、こうすけです。 今日は甘酸っぱいサラダドレッシングのレシピをご紹介。こちらのペシェ・ド・ヴィーニュという赤桃のコンフィチュールを使ったドレッシングです。 このジャムは割と酸味の効いたさっぱりめのジャムなのですが、後から口に残る香りはしっかりと桃の風味。日本では中々珍しいコンフィチュールです。甘酸っぱいドレッシングにはもってこいの味わいです。 このコンフィチュール大さじ１/２に、ビネガーを小さじ１加えたら、塩をひとつまみ入れて、後はオリーブオイルをゆっくり加えながら混ぜるだけ。これだけで美味しいドレッシングが出来ちゃいます。今回はキャロットラペに合わせてみました。フルーツ感覚で食べれてしまうので、にんじんが苦手な方にもおすすめです。このドレッシング、モッツアレラソースに加えても美味しいです！
885,2020年5月7日,季節をいただく-ホワイトアスパラ-,こんにちは、こうすけです。 今日は外も晴れやかで、室内にいても何となく気持ちが良いですね。 外に出る機会が少ないと、やはり食べるもので季節を感じたくなります。先日お世話になっている方から、ずいぶんと立派なホワイトアスパラをいただきました。今の時期ならではの食材をこうしていただけるのは、本当にありがたいです。今回はバターソテーにしてみました。 かなり極太のアスパラなので、じっくり丁寧にソテーして、仕上げに海の果実と、胡椒をパラリ。アスパラの甘味をしっかりと堪能できました。素材の旨みが強いと、シンプルな調理でしっかりと楽しめますね。
888,2020年5月8日,ホクホクのじゃがいも,こんにちは、こうすけです。 相変わらずじゃがいもにハマっております。というか昔から好きなんです、じゃがいも。 じゃが芋は、気を補い、胃の調子を整える効果を期待できます。体の中から元気になりたい、そんな時におすすめの食材です。 最近はフライドポテトにかかりっきりでしたが、シンプルに蒸して食べるのも美味しいですね。蒸し立てのじゃがいもに、海の果実とオリーブオイル、胡椒をかけていただく。ほんのりとした甘味、ねっとりとした食感からくるクリーミーさ。たまらないですね。  
891,2020年5月9日,石川芋！！,こんにちは、こうすけです。 今日もホクホクいきたいと思います。今回は石川芋という芋を蒸していただきます。石川芋は里芋の一種です。これを蒸籠で蒸して、今回もオリーブオイルと塩でいただきます。このホクホク食感と甘みが後を引きます。いくらでも食べたくなってしまいますね。
899,2020年5月10日,辛味噌だれを作ってみました,こんにちは、こうすけです。 今日は調味料で調味料を作ろうという取り組みです。 今回作ってみたのは、辛味噌だれ。たまにアジアンな料理が食べたくなるのですが、とは言えそんなことは割とレアなので、そういう時に使える調味料が我が家にはほとんどないです。そういう場合は大体家にあるもので何とかする！　のが鉄則笑。自家製調味料を作るときは、自分の裁量で、およそオリジナルの調味料では使わないだろうというものを使えるのが楽しいです。 【オリジナル辛味噌だれ】麹味噌…大さじ１赤味噌…　小さじ１柚子胡椒…小さじ１/２ラー油…小さじ１/２マーマレード…小さじ１砂糖…小さじ１/２日本酒…大さじ１ 上記調味料を順番に混ぜるだけ！　簡単、美味しい！これで肉を漬けたり、野菜を炒めたりして食べるのがおすすめです。ポイントは、マーマレードと柚子胡椒を使うこと。柑橘類の香りがとても爽やかでいいアクセントになります。 
902,2020年5月11日,鶏とキャベツの辛味だれ蒸し,こんばんは、こうすけです。 唐突な暑さがやってきましたね。こう言う時こそ、辛いものを食べて汗を発散させたくもなります。 さて、今日は昨日作った辛味噌だれを使って、ガツンとした料理を作りたいと思います。 【材料（２人分）】鶏もも肉：２００gキャベツ：半玉玉ねぎ；1個チーズ：好みの量辛味噌だれ：大さじ３水：３０cc塩：ひとつまみ小麦粉・片栗粉：適量で２：１に。 １.辛味噌だれに水を加えて伸ばしたら、５０g大にカットした鶏肉を漬けて３０分放置します。２.その間に、キャベツと玉ねぎをざく切りしておきます。３.１の鶏肉の汁気を拭いて、小麦粉と片栗粉をまぶしたら、皮目がカリッとするまでしっかりと焼きます。４.１の余ったたれと軽く塩をふったキャベツと玉ねぎを炒めたら、３の鶏肉も一緒に炒めて、全体にしっかりと火を通します。５.最後にチーズを載せて、チーズをこんがり焼いてたら完成です。 辛味噌だれとチーズの相性が抜群です。肉も野菜もたっぷり楽しめます。ご飯が進むこと、間違いなしです！
904,2020年5月12日,コロッケが楽しかったお話,こんばんは、こうすけです。 突然ですが、僕はコロッケに思い入れがあります。子供の頃住んでいた町にお肉屋さんがありまして、休みの日にそこでコロッケを買ってお昼に食べていました。このコロッケが、やたら美味しかった。シンプルにじゃがいもと挽肉だけなのですが、ホクホクサクサクで最高に美味い。しかも大きいし、安い。そのため、他でコロッケを食べる時は、どうしてもそのお店のコロッケが基準になります。 あと、ここのコロッケ、甘くなかったんですね。だから、やっぱり他のお店でコロッケを食べて、甘いのばかり当たると違和感。割と周りの友人に聞くと、コロッケって甘いよ？　って反応が返ってくるので、もしや自分が食べていたコロッケの方が特殊だったのかもしれない、と思う今日この頃です。 それでは今回のコロッケのレシピです。【材料（２人分）】じゃがいも：３００gバター：２５gベーコン：５０g塩・胡椒：適量小麦粉：適量卵：１個パン粉：適量 １.じゃがいもの皮をむき、適当な大きさに切って、しっかり柔らかくなるまで蒸します。蒸す代わりに、レンジで温めるでも、大丈夫です。 ２.じゃがいもを鍋に入れ、潰しながら弱火で加熱していきます。じゃがいもの塊が残るくらいざっくりと潰していきます。軽く水分が飛んだら火を止めて、バターを加えます。 ３.じゃがいもをボールに移して、細かく切ったベーコン、塩・胡椒を加えて混ぜます。混ぜたら好みの形に成形して、冷蔵庫で３０分ほど冷やしておきます。 ４.ふるった小麦粉と溶き卵をあらかじめ混ぜておき、そこに成形したコロッケだねを着けて、更にパン粉をまぶしていきます。 ５.あとは１８０度くらいの温度の油で揚げてたら完成です。 サクサクホクホクな上に、ベーコンのスモーキーな香りが最高のアクセントになります。是非ベーコンを使って、試していただきたいです。 
909,2020年5月15日,ガツンとメンチカツ,こんにちは、こうすけです。 先日はちょっとしたコロッケのこだわりについてお話しました。今日は、コロッケを食べるならこれも食べねば！　ということで、合わせて作ったメンチカツのレシピをご紹介したいと思います。 僕にとってメンチカツは、コロッケを食べる時の大事なパートナー。 ということで、レシピのご紹介です。 【材料：２人分】豚肉：２００g玉ねぎ：１/２個（みじん切り）卵：１個小麦粉：２５g程度牛乳：３０mlパン粉：適量塩：ひとつまみ胡椒：適量 １.可能であれば、豚肉２００g分の肉を自分で、包丁で粗く刻んで叩きます。もちろん粗挽きの挽肉でも大丈夫です。粗い肉を使うとボリューミーで食べ応えのあるメンチカツになります。すごくおすすめです。 ２.豚肉に玉ねぎを加えたら、粘り気が出るまでしっかりコネます。＊この時ラードを加えるとよりジューシーになります。 ３.肉を丸く成形したら、真ん中を少しくぼませてから、冷蔵庫で３０分以上寝かせます。 ４.溶き卵にふるった小麦、牛乳を加えて、さらによく混ぜます。肉に小麦粉をはたいてまぶします。卵液に肉を漬けて、さらにパン粉をしっかりまぶします。 ５.油を１７０〜１８０度の高温にします。肉をそっと油の中に入れます。＊全体的に柔らかいので、網じゃくしに載せて入れると揚げやすいです。肉が浮いてきてたらひっくり返し、狐色になるまで揚げて完成です。 揚げた肉を食べている！　という満足感が素晴らしいメンチカツになります。   
914,2020年5月13日,ウィンドゥギャラリー,こんにちは、こうすけです。 今日はイラストレーターの門田さんが、お店の窓の絵を新しくしてくれました。 今回もすごくキッチュで素敵なイラストを描いていただきました。こんな時期だからこそ、楽しい気持ちで過ごしていただければという思いで描いてくださいました。
916,2020年5月14日,縁起の良いお客様,こんにちは、こうすけです。 今日はびっくりするような、珍しくて縁起の良いお客様が。 いつもお店の入口の茂みの一角に「オープン」の札をぶら下げるのですが、ぶら下げようとしたところをスルッと動く何か。 何と白蛇さんが、お店の入口の茂みにいらっしゃってました。 こんな間近で蛇を、しかも野生の蛇を眺める機会はそうそうないので、なかなかびっくり。思わず声をあげてしまいました。 とはいえ恐らく毒はなさそうですし、何より白い蛇。縁起が良さそうな気がしてしばらく眺めておりました。 何か良いことが起きそうな予感がします。
921,2020年5月16日,今日はゆっくりと。,こんばんは、こうすけです。 今日は店長ともどもゆっくりと自宅で過ごしておりました。たまにはひたすらのんびりというのも良いですね。 店長はお預け状態があまりお気に召さなかったようです。 
924,2020年5月17日,お手軽トマトパスタ,こんばんは、こうすけです。 今日はオイルサーディンを使ったパスタをご紹介。 トマトサーディンを使ったパスタです。このトマトサーディン、トマトをベースにニンニクやバジルを使ったソースに、オイルサーディンを漬け込んであります。なので、しっかりとソースの味が染み込んでいて、パスタの具材にもピッタリです。 【材料：２人分】トマト＆バジルサーディン：１缶トマト：２個パスタ：２００gあら塩：ひとつまみ白ワイン：大さじ１オリーブオイル：適量胡椒：お好みの量粉チーズ：お好みの量 １.フライパンにオリーブオイルを入れて温めたら、ダイスに刻んだトマトと白ワインを加えて水分が飛ぶまで炒めます。２.パスタを茹でておきます。３.トマト＆バジルサーディンをトマトソースに加えて、しっかりほぐします。４.パスタが茹で上がったら、茹で汁を大さじ１、３のソースに加えます。５.４のソースの水分が飛んだら、パスタを加えてしっかりソースと和えて、最後に胡椒と粉チーズをかけたら完成です。 トマトとイワシの旨味が、しっかり楽しめるパスタ、しかもとても簡単！ぜひお試しください。 
929,2020年5月18日,爽やかな生姜焼き,こんにちは、こうすけです。 日曜日の快晴が続くかと思いきや、今週は雨が多いようですね。そろそろ湿度の高い時期が始まりそうです、そういう時は、生姜と柑橘を使って、スカッとしていきたいところ。 今日お届けするレシピは生姜焼きです。 【材料：２人分】豚肩ローススライス：２００g玉ねぎ：１/２個おろし生姜：２０g醤油：大さじ２日本酒：大さじ１マルタオレンジジャム：小さじ１ １.豚肉を食べやすいサイズにカットし、玉ねぎを千切りにします。２.生姜、醤油、日本酒、マーマレードを混ぜてタレを作ります。３.２のタレに肉を漬け込んで、３０分ほど漬けておきます。４.先に玉ねぎを軽く炒め、後から豚肉とつけだれを加えて炒めます。５.肉にしっかりと火が通ったら完成です。 玉ねぎのシャキッとした食感が残っているくらいに炒めるのがおすすめです。ご飯がとにかく進みます。
939,2020年5月19日,シンプル茶パスタ,こんにちは、こうすけです。 今日はひと雨。涼やかな風が気持いいですね。 今日はさっと作れてあとを引く、茶パスタのレシピをご紹介。 【材料：２人分】ロングパスタ：２００gバター：３０g醤油：大さじ１/２茶葉（緑茶）：大さじ１あら塩：１０g １.たっぷりのお湯(１l目安)を沸騰させておき、沸騰したら塩を入れます。２.パスタを茹でます。茹で時間が残り３分になったら、ネットなどに入れた茶葉を一緒に煮出します。３.バターを弱火で溶かし、醤油と２の茹で汁を加えます。４.３にパスタを加えたら中火にして、フライパンを煽りながらソースとパスタをしっかり絡めて完成です。 シンプルな味付けですが、緑茶の香りがふわっと香る奥深いパスタ。付け合わせとしても大活躍です。 
942,2020年5月20日,ピリ辛チキンサラダ,こんにちは、こうすけです。 週も半ば、今週は少し陰り気味の空ですが、これもまたいい気持ちですね。 今日のレシピはガッツリとヘルシーの両方が楽しめる、ピリ辛チキンサラダのご紹介です。 【材料：２人分】鶏もも肉：２００gキュウリ：１本玉ねぎ：１/２個トマト：２個ラー油：お好みガラムマサラ：お好みマルタオレンジジャム：小さじ１顆粒：適量白ワイン：大さじ１ １.トマトをダイスに切っておき、そのうち一部をとっておき、残りを水分が飛ぶまで炒めます。水分が飛んだら、白ワインを加えて、アルコール分を飛ばします。 ２.１のトマトにマーマレードと塩を加えて混ぜます。 ３.鶏もも肉を皮目を裏にして、カリカリになるまで焼きます。 ４.３の作業をしている間に、きゅうりと玉ねぎをスライスしておきます。 ５.鶏もも肉が焼き上がったら、食べやすいサイズにカットして、４の野菜と一緒に盛り付けます。 ６.フライパンに残った肉汁を、ゆっくり２のソースに足しながらかき混ぜます。最後にラー油とガラムマサラを足して、辛みを調整します。 ７.６のソースと取っておいたダイストマトを５の上にかけたら完成です。 ほんのりとマーマレードの甘味と爽やかな香りの効いたピリ辛ソースが、食欲をかきたててます。たっぷりの野菜とぜひ一緒に楽しんでください。
950,2020年5月21日,オリジナル味噌のお話,こんにちは、こうすけです。 今日はまたぐっと気温が低くなりましたね。こんな日はまた温かいものが食べたくなります。そういう時に、さっと美味しいお味噌汁が作れると凄く嬉しい。 そんな思いもありまして、この度、ゲランドの塩を使って、お味噌を作ることになりました。 今回味噌作りをお願いするのは、福井県にある老舗の味噌蔵「米五」様。元々自宅でこちらのお味噌を使わせていただいたこともあり、お味噌を作るなら、米五さんに！　と思っていたので、オリジナル味噌の相談をさせていただきました。 これから味噌の製造過程も、こちらでお知らせできるかと思います。どうぞ、お楽しみに！ 販売は今年の冬を予定しております。
953,2020年5月22日,カレーの気分,こんにちは、こうすけです。 最近何だか冷え込む日が多くなってきましたね。不思議な天気が続いています。 急に冷え込むと、やはり食べるものは体を温めてくれるものが欲しくなる。 ということで、材料はシンプルに、その代わり少し時間をかけてカレーを作りました。玉ねぎをしっかり炒めて、潰したトマトを加えて一度水分を飛ばします。 肉と水、カレー粉を加えて、塩胡椒で味を整えたら完成です。 火を飛ばしたり、柔らかくする作業で時間はかかりますが、意外とシンプルな手順で作れるので、おすすめです！   
